OrderID,TradeID,ContingentOrderID,PrimaryID,Status,Amount,BuySell,Price
391435572, 170630787, 391435441, 391435441, W, 3000, S, 1.29000
391435441, 170630787, , , W, 3000, B, 1.18000
391443314, 170633829, 391443183, 391443183, W, 3000, S, 1.11100
391435571, 170630787, 391435441, 391435441, W, 3000, S, 1.11100
391443315, 170633829, 391443183, 391443183, W, 3000, S, 1.29000
391435374, 170630699, 391435243, 391435243, W, 3000, S, 1.11100
391435375, 170630699, 391435243, 391435243, W, 3000, S, 1.29000
391443183, 170633829, , , W, 3000, B, 1.18000
391435243, 170630699, , , W, 3000, B, 1.18000
